,song_name,artist_name,song_genre,publish_year,time_played_at,dj_name
0,Melody,Sigala,Dance ,2022,04:00,
1,As It Was,Harry Styles,,,04:02,
2,Peaches,Justin Bieber / Daniel Caesar / Giveon,Pop ,2021,04:05,
3,Feels So Close,Calvin Harris,Dance ,2012,04:08,
4,Go,Cat Burns,Singer/Songwriter ,2020,04:12,
5,Ride It,Regard,Dance ,2019,04:18,
6,Butter,BTS,,,04:23,
7,Anyone For You,George Ezra,,,04:25,
8,I'll Be There,Jess Glynne,Pop ,2018,04:28,
9,Heartbreak Anthem,"Galantis, Little Mix",Dance ,2021,04:31,
10,Bang Bang,Jessie J / Nicki Minaj / Ariana Grande,Pop ,2014,04:34,
11,Physical,Dua Lipa,,,04:39,
12,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,04:42,
13,If I Can't Have You,Shawn Mendes,Pop ,2019,04:45,
14,Sorry,Joel Corry,Dance ,2019,04:49,
15,ABC,Gayle,Pop ,2021,04:52,
16,When I'm Gone,Alesso & Katy Perry,Dance ,2021,05:02,
17,she's all i wanna be,Tate Mcrae,Pop ,2022,05:04,
18,Attention,Charlie Puth,Pop ,2017,05:08,
19,Anywhere,Rita Ora,Pop ,2017,05:11,
20,About Time,Lizzo,,,05:15,
21,Don't Wanna Know,Maroon 5,,,05:18,
22,House On Fire,Mimi Webb,Pop ,2022,05:21,
23,Last Time,Becky Hill,Dance ,2021,05:23,
24,Human,Rag 'n' Bone Man,Alternative ,2017,05:27,
25,Watermelon Sugar,Harry Styles,Pop ,2019,05:32,
26,Say You Won't Let Go,James Arthur,Pop ,2016,05:35,
27,One Too Many,"Keith Urban, Pink",Pop ,2020,05:42,
28,Diamonds,Rihanna,Pop ,2012,05:45,
29,Meant To Be,Bebe Rexha & Florida Georgia Line,Pop ,2017,05:48,
30,Sacrifice,The Weeknd,R&B/Soul ,2022,05:50,
31,Shotgun,George Ezra,Singer/Songwriter ,2018,05:53,
32,Good Luck,Mabel & Jax Jones,Dance ,2022,06:06,Garry and Claire
33,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,06:10,Garry and Claire
34,Easy Love,Sigala,Pop ,2015,06:13,Garry and Claire
35,Heat Waves,Glass Animals,Pop ,2020,06:22,Garry and Claire
36,Crazy In Love,Beyonce / Jay-Z,Pop ,2003,06:34,Garry and Claire
37,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,06:46,Garry and Claire
38,Black Magic,Little Mix,Pop ,2015,06:49,Garry and Claire
39,Spectrum,Florence And The Machine,Alternative ,2012,06:52,Garry and Claire
40,Cold Heart (Pnau Remix),Elton John & Dua Lipa,Pop ,2021,07:24,Garry and Claire
41,Our Song,Anne-Marie / Niall Horan,Pop ,2021,07:44,Garry and Claire
42,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,07:46,Garry and Claire
43,One Night,Griff,Pop ,2021,08:04,Garry and Claire
44,As It Was,Harry Styles,,,08:06,Garry and Claire
45,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,08:10,Garry and Claire
46,Bed,Joel Corry / Raye / David Guetta,Dance ,2021,08:20,Garry and Claire
47,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,08:44,Garry and Claire
48,Love Again,Dua Lipa,,,08:49,Garry and Claire
49,Happy,Pharrell,,,08:53,Garry and Claire
50,What's Love Got To Do With It (Club Mix),Kygo / Tina Turner,Pop ,2020,09:04,Garry and Claire
51,I Gotta Feeling,Black Eyed Peas,Hip-Hop/Rap ,2009,09:08,Garry and Claire
52,Pop Ya Collar,Usher,R&B/Soul ,1999,09:11,Garry and Claire
53,House On Fire,Mimi Webb,Pop ,2022,09:31,Garry and Claire
54,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,09:33,Garry and Claire
55,Break Up Song,Little Mix,Pop ,2020,09:48,Garry and Claire
56,Hot 'n' Cold,Katy Perry,Pop ,2008,10:04,
57,Sambuca,Wideboys / Dennis G,,,10:10,
58,Promiscuous,Nelly Furtado / Timbaland,Pop ,2010,10:13,
59,Mr Brightside,Killers,Alternative ,2005,10:17,
60,Ride Wit Me,Nelly / City Spud,,,10:24,
61,Got The Feelin',Five,Pop ,2001,10:28,
62,Better Off Alone,Alice Deejay / Dj Jurgen,,,10:31,
63,Round Round,Sugababes,Pop ,2006,10:34,
64,Baby,Justin Bieber & Ludacris,Pop ,2010,10:41,
65,It Wasn't Me,"Shaggy, Rikrok",,,10:44,
66,Just A Little,Liberty X,Pop ,2002,10:48,
67,The Boy Is Mine,Brandy & Monica,R&B/Soul ,1998,10:51,
68,Bad Habits,Ed Sheeran,Pop ,2021,11:03,Andy Walker
69,Good Luck,Mabel & Jax Jones,Dance ,2022,11:06,Andy Walker
70,Dancing In The Moonlight,"Jubël, Neimy",Pop ,2018,11:09,Andy Walker
71,Time To Groove,Majestic / Nonô,Dance ,2022,11:12,Andy Walker
72,Your Love 9PM,ATB Topic & A7S,Dance ,2021,11:14,Andy Walker
73,We Found Love,Rihanna / Calvin Harris,Pop ,2011,11:25,Andy Walker
74,Remind Me,Tom Grennan,Alternative ,2022,11:28,Andy Walker
75,Story Of My Life,One Direction,Pop ,2013,11:35,Andy Walker
76,Levitating,Dua Lipa,,,11:43,Andy Walker
77,All I Know So Far,Pink,Pop ,2021,11:46,Andy Walker
78,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,11:49,Andy Walker
79,Firework,Katy Perry,Pop ,2010,11:52,Andy Walker
80,Sacrifice,The Weeknd,R&B/Soul ,2022,12:04,Andy Walker
81,Run,Becky Hill & Galantis,Dance ,2022,12:07,Andy Walker
82,24/5,Mimi Webb,Pop ,2021,12:10,Andy Walker
83,Let You Love Me,Rita Ora,Pop ,2018,12:12,Andy Walker
84,Light Switch,Charlie Puth,Pop ,2022,12:16,Andy Walker
85,Green Green Grass,George Ezra,,,12:22,Andy Walker
86,Tell Me Something Good,Ewan Mcvicar,,,12:25,Andy Walker
87,Dancing Feet,Kygo / Dnce,Pop ,2022,12:28,Andy Walker
88,Ghost,Ella Henderson,Pop ,2014,12:31,Andy Walker
89,Bad Blood,Taylor Swift,Pop ,2015,12:35,Andy Walker
90,Let Them Know,Mabel,Pop ,2021,12:42,Andy Walker
91,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,12:44,Andy Walker
92,Hold On,Justin Bieber,Karaoke ,2013,12:48,Andy Walker
93,One Last Time,Ariana Grande,Pop ,2014,12:50,Andy Walker
94,Single Ladies (Put A Ring On It),Beyonce,Pop ,2008,13:02,Andy Walker
95,As It Was,Harry Styles,,,13:06,Andy Walker
96,Toca's Miracle,Fragma,,,13:08,Andy Walker
97,ABC,Gayle,Pop ,2021,13:12,Andy Walker
98,New Rules,Dua Lipa,Pop ,2017,13:14,Andy Walker
99,Dilemma,Nelly/ Kelly Rowland,Hip-Hop/Rap ,2002,13:22,Andy Walker
100,About Time,Lizzo,,,13:26,Andy Walker
101,24K Magic,Bruno Mars,Pop ,2016,13:29,Andy Walker
102,South Of The Border,"Ed Sheeran, Camila Cabello & Cardi B",Pop ,2019,13:32,Andy Walker
103,Old Town Road,Lil Nas X,Country ,2019,13:35,Andy Walker
104,Whats Luv,Fat Joe / Ashanti,Hip-Hop/Rap ,2001,13:37,Andy Walker
105,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,13:46,Andy Walker
106,Power,"Little Mix, Stormzy",Pop ,2017,13:49,Andy Walker
107,My Universe,Coldplay / Bts,Pop ,2021,14:03,Andy Walker
108,Don't You Worry Child,Swedish House Mafia / John Martin,Dance ,2012,14:06,Andy Walker
109,she's all i wanna be,Tate Mcrae,Pop ,2022,14:09,Andy Walker
110,Shivers,Ed Sheeran,Pop ,2021,14:13,Andy Walker
111,Love Yourself,Justin Bieber,Pop ,2015,14:16,Andy Walker
112,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,14:24,Andy Walker
113,House On Fire,Mimi Webb,Pop ,2022,14:27,Andy Walker
114,Go,Cat Burns,Singer/Songwriter ,2020,14:29,Andy Walker
115,Beg For You,Charli Xcx / Rina Sawayama,Pop ,2022,14:32,Andy Walker
116,Holiday,Ksi,Pop ,2021,14:35,Andy Walker
117,Melody,Sigala,Dance ,2022,14:42,Andy Walker
118,Anywhere,Rita Ora,Pop ,2017,14:45,Andy Walker
119,Watermelon Sugar,Harry Styles,Pop ,2019,15:02,Andy Walker
120,Good Luck,Mabel & Jax Jones,Dance ,2022,15:05,Andy Walker
121,There's Nothing Holdin' Me Back,Shawn Mendes,Pop ,2016,15:09,Andy Walker
122,Don't Forget My Love,Diplo & Miguel,Dance ,2022,15:12,Andy Walker
123,Love Again,Dua Lipa,,,15:15,Andy Walker
124,More Than Friends,"James Hype, Kelli-Leigh",Dance ,2017,15:23,Andy Walker
125,What Lovers Do,Maroon 5 & Sza,Pop ,2017,15:25,Andy Walker
126,Remind Me,Tom Grennan,Alternative ,2022,15:29,Andy Walker
127,I Really Like You,Carly Rae Jepsen,,,15:33,Andy Walker
128,Dynamite,BTS,,,15:36,Andy Walker
129,Ghost,Justin Bieber,Pop ,2021,15:43,Andy Walker
130,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,15:46,Andy Walker
131,This Girl,Kungs / Cookin' On 3 Burners,,,15:48,Andy Walker
132,Our Song,Anne-Marie / Niall Horan,Pop ,2021,15:51,Andy Walker
133,Run,Becky Hill & Galantis,Dance ,2022,16:02,Rob Wills
134,Paradise,Meduza / Dermot Kennedy,Dance ,2020,16:05,Rob Wills
135,Good Without,Mimi Webb,Pop ,2021,16:08,Rob Wills
136,Thats What I Want,Lil Nas X,Pop ,2021,16:11,Rob Wills
137,Sweet Dreams,Beyonce,Pop ,2008,16:13,Rob Wills
138,Sweet Lovin,Sigala,Dance ,2015,16:23,Rob Wills
139,Heart Skips A Beat,"Olly Murs, Rizzle Kicks",Pop ,2011,16:26,Rob Wills
140,Light Switch,Charlie Puth,Pop ,2022,16:31,Rob Wills
141,Lighter,Nathan Dawe & Ksi,Dance ,2020,16:34,Rob Wills
142,Cold Heart (Pnau Remix),Elton John & Dua Lipa,Pop ,2021,16:44,Rob Wills
143,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,16:47,Rob Wills
144,Nothing Breaks Like A Heart,Mark Ronson / Miley Cyrus,Pop ,2018,16:51,Rob Wills
145,Semi Charmed Life,Third Eye Blind,Alternative ,1997,17:03,Rob Wills
146,Let's Get It Started,Black Eyed Peas,,,17:08,Rob Wills
147,Come And Get It,John Newman,,,17:11,Rob Wills
148,Marry You,Bruno Mars,Pop ,2010,17:14,Rob Wills
149,This Is What You Came For,Calvin Harris / Rihanna,Dance ,2016,17:17,Rob Wills
150,Anyone For You,George Ezra,,,17:31,Rob Wills
151,Stay,The Kid Laroi & Justin Bieber,Pop ,2021,17:34,Rob Wills
152,Don't Call Me Up,Mabel,Pop ,2019,17:42,Rob Wills
153,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,17:45,Rob Wills
154,Crazy What Love Can Do,"David Guetta, Becky Hill & Ella Henderson",Dance ,2022,17:48,Rob Wills
155,Drivers License,Olivia Rodrigo,Pop ,2021,17:51,Rob Wills
156,she's all i wanna be,Tate Mcrae,Pop ,2022,18:04,Rob Wills
157,Savage Love (Laxed - Siren Beat),Jawsh 685 / Jason Derulo,Pop ,2020,18:07,Rob Wills
158,Butter,BTS,,,18:10,Rob Wills
159,Moves Like Jagger,Maroon 5 / Christina Aguilera,Pop ,2011,18:13,Rob Wills
160,House On Fire,Mimi Webb,Pop ,2022,18:17,Rob Wills
161,Senorita,"Shawn Mendes, Camila Cabello",Pop ,2019,18:24,Rob Wills
162,Shape Of You,Ed Sheeran,Pop ,2017,18:30,Rob Wills
163,Timber,"Pitbull, Kesha",Pop ,2013,18:34,Rob Wills
164,Giant,Calvin Harris / Rag N Bone Man,Dance ,2019,18:43,Rob Wills
165,A Sky Full Of Stars,Coldplay,Alternative ,2014,18:46,Rob Wills
166,STUPID LOVE,Lady Gaga,Pop ,2020,18:49,Rob Wills
167,Adore You,Harry Styles,Pop ,2019,18:52,Rob Wills
168,Run,Becky Hill & Galantis,Dance ,2022,19:01,Numi
169,Baby,Aitch & Ashanti,Hip-Hop/Rap ,2022,19:04,Numi
170,Don't Start Now,Dua Lipa,Pop ,2019,19:07,Numi
171,ABC,Gayle,Pop ,2021,19:11,Numi
172,Edamame,"Bbno$, Rich Brian",Hip-Hop/Rap ,2021,19:14,Numi
173,Where Are You Now,Lost Frequencies / Calum Scott,Dance ,2021,19:16,Numi
174,What Would You Do?,"Joel Corry, David Guetta & Bryson Tiller",Dance ,2022,19:22,Numi
175,Take My Breath,The Weeknd,R&B/Soul ,2021,19:25,Numi
176,Bad Life,Sigrid & Bring Me The Horizon,,,19:29,Numi
177,Green Green Grass,George Ezra,,,19:34,Numi
178,Mood,24Kgoldn / Iann Dior,,,19:36,Numi
179,Flowers,Nathan Dawe,Dance ,2019,19:41,Numi
180,Remind Me,Tom Grennan,Alternative ,2022,19:46,Numi
181,Boyfriend,Dove Cameron,Pop ,2022,19:55,Numi
182,One Night,Griff,Pop ,2021,19:57,Numi
183,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,20:03,Numi
184,Big Energy,Latto / Mariah Carey / Dj Khaled,Hip-Hop/Rap ,2022,20:07,Numi
185,When You're Gone,Shawn Mendes,Pop ,2022,20:11,Numi
186,When You're Out,Billen Ted / Mae Muller,Dance ,2021,20:13,Numi
187,Light Switch,Charlie Puth,Pop ,2022,20:16,Numi
188,House On Fire,Mimi Webb,Pop ,2022,20:24,Numi
189,My Love,Florence And The Machine,,,20:26,Numi
190,Thousand Miles,The Kid Laroi,Pop ,2022,20:29,Numi
191,Freaky Deaky,"Tyga, Doja Cat",Hip-Hop/Rap ,2022,20:38,Numi
192,As It Was,Harry Styles,,,20:45,Numi
193,Little Bit of Love,Tom Grennan,Alternative ,2021,20:48,Numi
194,All 4 Nothing (I'm So In Love),Lauv,,,20:52,Numi
195,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,20:55,Numi
196,Super Bass,Nicki Minaj,R&B/Soul ,2010,21:02,Numi
197,Prayer In C,Robin Schulz,Dance ,2014,21:05,Numi
198,Break Free,Ariana Grande,Pop ,2014,21:08,Numi
199,About Time,Lizzo,,,21:12,Numi
200,Baby,Aitch & Ashanti,Hip-Hop/Rap ,2022,21:15,Numi
201,Break My Heart,Dua Lipa,,,21:18,Numi
202,Night Away (Dance),A1 / J1 / Tion Wayne,Hip-Hop/Rap ,2022,21:26,Numi
203,Beg For You,Charli Xcx / Rina Sawayama,Pop ,2022,21:28,Numi
204,First Class,Jack Harlow,,,21:32,Numi
205,The Business,Tiesto,Pop ,2020,21:35,Numi
206,Anyone For You,George Ezra,,,21:37,Numi
207,ABC,Gayle,Pop ,2021,21:44,Numi
208,Remind Me,Tom Grennan,Alternative ,2022,21:46,Numi
209,Paradise,Bru-C,Dance ,2022,21:50,Numi
210,Peru,Fireboy DML & Ed Sheeran,Afrobeats ,2021,21:53,Numi
211,Say So,Doja Cat,R&B/Soul ,2019,22:02,
212,Since You Been Gone,Kelly Clarkson,Pop ,2004,22:04,
213,Run,Becky Hill & Galantis,Dance ,2022,22:07,
214,Don't Play,Anne Marie & Ksi & Digital Farm Animals,Pop ,2021,22:11,
215,Seventeen Going Under,Sam Fender,Singer/Songwriter ,2021,22:14,
216,24/5,Mimi Webb,Pop ,2021,22:20,
217,Light Switch,Charlie Puth,Pop ,2022,22:22,
218,Piece Of Your Heart,Meduza / Goodboys,Dance ,2019,22:26,
219,Uptown Funk,Mark Ronson / Bruno Mars,Pop ,2015,22:28,
220,Breaking Me,"Topic, A7S",Dance ,2019,22:31,
221,When I'm Gone,Alesso & Katy Perry,Dance ,2021,22:37,
222,Go,Cat Burns,Singer/Songwriter ,2020,22:44,
223,Bam Bam,Camila Cabello / Ed Sheeran,Pop ,2022,22:47,
224,If I Can't Have You,Shawn Mendes,Pop ,2019,22:50,
225,Mad Love,Mabel,,,22:53,
226,Higher Power,Coldplay,Alternative ,2021,23:02,
227,As It Was,Harry Styles,,,23:05,
228,Levels,Avicii,Dance ,2011,23:08,
229,Save Your Tears (Remix),The Weeknd / Ariana Grande,R&B/Soul ,2021,23:11,
230,Closer,The Chainsmokers / Halsey,Dance ,2016,23:14,
231,Bed,Joel Corry / Raye / David Guetta,Dance ,2021,23:20,
232,Anyone,Justin Bieber,Pop ,2021,23:23,
233,About Time,Lizzo,,,23:26,
234,Anyone For You,George Ezra,,,23:29,
235,All About That Bass,Meghan Trainor,Pop ,2014,23:32,
236,Where Did You Go?,"Jax Jones, Mnek",Dance ,2022,23:42,
237,Montero (Call Me By Your Name),Lil Nas X,Pop ,2021,23:44,
238,Call On Me (Ryan Riback Remix),Starley,Dance ,2016,23:47,
239,2002,Anne-Marie,,,23:50,
